group,sample,x,y,UMAP_1,UMAP_2,label,label_color
UPEC,UPEC_12,0,0,0.28020835,0.8066636,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,1,0,0.35812986,0.88060933,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,2,0,0.28685075,0.8462255,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,3,0,0.13352293,0.7626203,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,4,0,0.13422129,0.72934943,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,5,0,0.23079817,0.8156616,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,6,0,0.2674327,0.8164199,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,7,0,0.4022554,0.8853374,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,9,0,0.35514596,0.885078,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,10,0,0.32363144,0.8483849,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,11,0,0.27746943,0.8282737,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,12,0,0.1281876,0.73623186,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,13,0,0.31463802,0.79641724,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,14,0,0.34864625,0.8930577,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,15,0,0.23443748,0.7604864,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,16,0,0.24675103,0.73396415,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,17,0,0.31603464,0.82722944,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,22,0,0.32903826,0.850689,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,25,0,0.33896652,0.8570551,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,26,0,0.13103992,0.7336535,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,30,0,0.32523033,0.8198334,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
