m/z,feature importance
768.5863037109375,1.0
645.4069213867188,0.59344655
372.1893310546875,0.53382546
746.602294921875,0.5312656
686.5850219726562,0.524743
335.9709777832031,0.4573731
521.4525756835938,0.42276636
744.58740234375,0.409462
546.5264282226562,0.40270385
602.5888671875,0.40019295
607.4336547851562,0.39047334
648.6267700195312,0.37998834
859.7671508789062,0.37530234
561.0507202148438,0.3725222
799.669921875,0.36321282
310.14215087890625,0.3626463
602.1638793945312,0.36199316
571.4702758789062,0.3554841
804.4946899414062,0.3332329
517.3277587890625,0.32882303
551.3712158203125,0.32720843
396.1832580566406,0.32714674
732.552978515625,0.32358178
541.3666381835938,0.31729126
408.2976989746094,0.31521913
897.4854736328125,0.31351346
414.1374206542969,0.30696815
575.5001220703125,0.30558527
806.5645751953125,0.29483736
766.5714111328125,0.28991297
364.2746887207031,0.28422168
516.247802734375,0.28399774
473.2697448730469,0.283608
597.4840698242188,0.28071487
430.3766784667969,0.2756037
707.4990844726562,0.26827997
802.5897827148438,0.26748696
723.4933471679688,0.26662853
408.147705078125,0.26596534
537.5217895507812,0.26292083
572.1902465820312,0.26177073
703.5742797851562,0.26108587
348.2804260253906,0.2599625
402.9929504394531,0.25950328
720.5885009765625,0.25796106
635.5023803710938,0.2556216
537.391845703125,0.2552346
563.5406494140625,0.25509125
796.5250244140625,0.255065
597.4290771484375,0.2547008
772.5211181640625,0.2543229
346.2605285644531,0.25342825
883.7710571289062,0.25204492
467.25,0.24669397
870.5366821289062,0.24636576
855.7373657226562,0.24402739
542.3215942382812,0.24143632
617.17822265625,0.23940197
897.7254638671875,0.23537351
685.4351196289062,0.23530918
591.1643676757812,0.23513824
551.326171875,0.23499958
485.2641906738281,0.23257913
643.197021484375,0.23041676
398.2381591796875,0.22980937
730.5730590820312,0.22963013
776.5559692382812,0.22807184
620.1980590820312,0.22699834
731.4979858398438,0.2263483
872.4815673828125,0.22599158
666.48095703125,0.2248236
576.570068359375,0.22414398
310.3071594238281,0.22374694
598.3190307617188,0.22314093
733.5178833007812,0.22026119
421.2720947265625,0.21969268
320.1617126464844,0.21950296
382.3188781738281,0.2190448
324.2765197753906,0.21904327
753.5869750976562,0.21805283
641.5120849609375,0.21708962
469.2899169921875,0.2159162
776.5909423828125,0.21545038
661.5211791992188,0.21414246
534.2919921875,0.21406189
796.6300659179688,0.21300979
368.30450439453125,0.21264848
740.7075805664062,0.21222888
614.3483276367188,0.21059977
740.5526123046875,0.20989294
457.28045654296875,0.20967479
436.1864318847656,0.20915897
634.4074096679688,0.20884699
734.56787109375,0.20834692
728.5181274414062,0.20804334
839.4630737304688,0.20767044
300.0926208496094,0.20762655
563.5006103515625,0.20670535
630.192626953125,0.20570853
496.0787048339844,0.2055522
800.6148681640625,0.20500255
792.5652465820312,0.20435956
798.4599609375,0.20360392
480.10943603515625,0.2023981
560.5007934570312,0.20201987
533.3569946289062,0.20034048
404.15289306640625,0.20020512
760.5816650390625,0.19930674
813.6842651367188,0.19878589
857.7522583007812,0.19668984
590.1544189453125,0.19647206
817.55908203125,0.19540049
769.561279296875,0.19476908
606.148681640625,0.19423212
813.479248046875,0.19372638
591.5343627929688,0.19306412
835.6632690429688,0.19283357
308.1622619628906,0.19258592
710.4839477539062,0.19229014
325.2864685058594,0.1918639
851.6375122070312,0.19165015
618.1481323242188,0.19162373
605.5487060546875,0.191307
435.1064758300781,0.19080995
369.3494567871094,0.19025129
319.2617492675781,0.1891373
318.13677978515625,0.18822844
619.1580810546875,0.18760899
519.0626831054688,0.18568099
441.2362060546875,0.18551567
829.7235107421875,0.18524443
790.5552978515625,0.18520497
775.4609985351562,0.18520485
758.5667724609375,0.18494135
443.2510986328125,0.18490691
616.1732177734375,0.1845119
706.5391235351562,0.1834308
902.7651977539062,0.18342234
347.1304626464844,0.18325794
517.3627319335938,0.18264362
365.31964111328125,0.18241426
387.0186767578125,0.18224083
767.2113647460938,0.1821747
392.1534423828125,0.1817387
769.4762573242188,0.18117231
503.2533874511719,0.18001923
848.5576782226562,0.18001121
913.69970703125,0.17825992
393.0933837890625,0.17816761
875.50146484375,0.17810379
864.5669555664062,0.17784645
631.3875732421875,0.17770164
871.7066040039062,0.17684236
382.2088928222656,0.17647575
599.5040283203125,0.17597249
474.2846984863281,0.1751165
364.3096923828125,0.17488398
468.28497314453125,0.17413856
793.5001831054688,0.17318638
810.5994262695312,0.17314325
836.543212890625,0.1731038
319.9967041015625,0.17230928
752.5570678710938,0.1709212
615.353271484375,0.1708025
808.5794677734375,0.17049192
591.494384765625,0.17020854
846.5377807617188,0.17001055
429.3217468261719,0.16969225
617.51318359375,0.16941634
616.3582153320312,0.16803063
500.3135070800781,0.16715239
818.509033203125,0.166932
646.411865234375,0.1666595
383.3288269042969,0.16592935
737.4526977539062,0.16560923
730.5380249023438,0.16502929
379.29400634765625,0.16482459
872.5565795898438,0.16384608
774.571044921875,0.1633086
758.5367431640625,0.16296025
401.3380126953125,0.16279267
628.6026611328125,0.16135293
495.26373291015625,0.1608356
856.50732421875,0.16030869
380.303955078125,0.16029103
724.5283203125,0.1602161
358.0099792480469,0.15994918
785.4505615234375,0.15905942
551.5011596679688,0.15893342
549.4862670898438,0.15804619
542.4915771484375,0.15766545
854.5274047851562,0.15752861
746.5673217773438,0.15664437
503.098388671875,0.156415
718.5736083984375,0.15624672
513.3329467773438,0.15624617
393.2983703613281,0.15571783
398.1031494140625,0.15518123
630.6176147460938,0.15477721
881.7511596679688,0.15461242
744.492431640625,0.15449695
711.4338989257812,0.15430781
363.29974365234375,0.15414418
645.5419311523438,0.1531179
652.6015625,0.15190326
504.2833251953125,0.15159957
885.666015625,0.15080167
318.98675537109375,0.15030722
780.55078125,0.14958523
756.5518798828125,0.14935474
770.5062255859375,0.14888637
518.3226928710938,0.14839885
409.26763916015625,0.14815192
832.5833740234375,0.14786439
